arm,stt,stratum,n_gold,n_retrieved@5,recall@5,precision@5,f1@5,ndcg@5,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
dense_then_expand,174,mixed_l41_other,6,5,0.16666666666666666,0.2,0.1818181818181818,0.16958010263680806,10,0.16666666666666666,0.1,0.125,0.15130120674940672,10,0.16666666666666666,0.1,0.125,0.15130120674940672,10,0.16666666666666666,0.1,0.125,0.15130120674940672,0.16666666666666666,0.3333333333333333,0.064
dense_then_expand,181,l41_only,2,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,14,0.5,0.07142857142857142,0.125,0.16104282508920814,14,0.5,0.07142857142857142,0.125,0.16104282508920814,0.0,0.07692307692307693,0.058
dense_then_expand,183,mixed_l41_other,5,5,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.127
dense_then_expand,185,l41_only,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.079
dense_then_expand,186,mixed_l41_other,2,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.073
dense_then_expand,196,l41_only,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.111
dense_then_expand,199,mixed_l41_other,2,5,0.5,0.2,0.28571428571428575,0.3065735963827292,10,0.5,0.1,0.16666666666666669,0.3065735963827292,10,0.5,0.1,0.16666666666666669,0.3065735963827292,10,0.5,0.1,0.16666666666666669,0.3065735963827292,0.0,0.3333333333333333,0.061
dense_then_expand,20,no_l41,2,5,0.5,0.2,0.28571428571428575,0.2640681225725909,10,0.5,0.1,0.16666666666666669,0.2640681225725909,10,0.5,0.1,0.16666666666666669,0.2640681225725909,10,0.5,0.1,0.16666666666666669,0.2640681225725909,0.0,0.25,0.25
dense_then_expand,201,no_l41,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.18
dense_then_expand,30,l41_only,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.201
dense_then_expand,38,l41_only,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.127
dense_then_expand,4,no_l41,2,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.34
dense_then_expand,44,l41_only,3,5,0.0,0.0,0.0,0.0,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.13565197343244778,13,0.3333333333333333,0.07692307692307693,0.125,0.13565197343244778,13,0.3333333333333333,0.07692307692307693,0.125,0.13565197343244778,0.0,0.1,0.099
dense_then_expand,47,mixed_l41_other,3,5,0.3333333333333333,0.2,0.25,0.18154179253735267,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.18154179253735267,14,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.18154179253735267,14,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.18154179253735267,0.0,0.2,0.159
dense_then_expand,48,no_l41,1,5,1.0,0.2,0.33333333333333337,0.6309297535714575,11,1.0,0.09090909090909091,0.16666666666666669,0.6309297535714575,11,1.0,0.09090909090909091,0.16666666666666669,0.6309297535714575,11,1.0,0.09090909090909091,0.16666666666666669,0.6309297535714575,0.0,0.5,0.64
